texto,emocion
"Hoy me siento muy feliz",alegria
"Qué bonito día para salir",alegria
"Estoy emocionado por el futuro",alegria
"Me encanta compartir con mis amigos",alegria
"Estoy agradecido por todo lo que tengo",alegria
"Hoy todo salió mejor de lo esperado",alegria
"Me siento lleno de energía positiva",alegria
"Estoy disfrutando mucho este momento",alegria
"No puedo dejar de sonreír",alegria
"Hoy recibí una gran noticia",alegria
"Me siento motivado para seguir adelante",alegria
"Estoy orgulloso de mis logros",alegria
"Disfruto mucho pasar tiempo con mi familia",alegria
"Me siento inspirado hoy",alegria
"Estoy contento con mi vida",alegria
"Todo parece ir perfectamente",alegria
"Me emociona comenzar algo nuevo",alegria
"Hoy tengo mucha confianza en mí",alegria
"Me siento optimista sobre el mañana",alegria
"Estoy celebrando algo importante",alegria
"ando bien feliz hoy 😄",alegria
"qué chilero estuvo todo",alegria
"me la pasé increíble hoy",alegria
"estoy emocionadísimo por mañana",alegria
"hoy fue un día brutal",alegria
"todo salió excelente",alegria
"me siento demasiado bien",alegria
"tengo ganas de celebrar",alegria
"me encanta cómo van las cosas",alegria
"hoy me desperté de buen humor",alegria
"ando súper motivado",alegria
"qué alegre estuvo la reunión",alegria
"me siento lleno de esperanza",alegria
"todo me está saliendo bien",alegria
"estoy feliz con mis resultados",alegria
"me siento muy emocionado",alegria
"estoy disfrutando muchísimo",alegria
"qué bonito se siente esto",alegria
"estoy muy agradecido hoy",alegria
"mi día ha sido fantástico",alegria
"todo está increíble",alegria
"me siento inspirado para crear",alegria
"tengo mucha energía hoy",alegria
"ando con toda la actitud",alegria
"me siento pleno",alegria
"quiero compartir mi felicidad",alegria
"estoy satisfecho con mi esfuerzo",alegria
"me siento afortunado",alegria
"qué emoción vivir esto",alegria
"todo me hace sonreír hoy",alegria
"hoy me siento increíblemente feliz",alegria
"todo me está saliendo excelente",alegria
"ando de muy buen humor",alegria
"qué alegre me siento hoy",alegria
"me emociona todo lo que viene",alegria
"estoy disfrutando mucho mi día",alegria
"me siento lleno de felicidad",alegria
"hoy tengo una sonrisa enorme",alegria
"todo me hace sentir bien",alegria
"ando muy emocionado por la vida",alegria
"me siento feliz de estar aquí",alegria
"qué bonito día estoy teniendo",alegria
"todo se siente perfecto hoy",alegria
"estoy muy contento con todo",alegria
"me siento más feliz que nunca",alegria
"Me siento triste y sin ganas",tristeza
"Extraño a alguien importante",tristeza
"Hoy no tengo energía",tristeza
"Me siento solo aunque haya gente",tristeza
"Estoy desanimado por los problemas",tristeza
"Hoy fue un día muy difícil",tristeza
"No tengo ganas de hablar con nadie",tristeza
"Me siento vacío por dentro",tristeza
"Quiero estar solo un rato",tristeza
"Estoy decepcionado de muchas cosas",tristeza
"Me cuesta encontrar motivación",tristeza
"Todo parece salir mal",tristeza
"Me siento cansado emocionalmente",tristeza
"Estoy pasando por un momento duro",tristeza
"Me duele recordar el pasado",tristeza
"Hoy me siento muy sensible",tristeza
"No logro sentirme mejor",tristeza
"Estoy agotado mentalmente",tristeza
"Siento mucha nostalgia hoy",tristeza
"Me siento abandonado",tristeza
"ando bajoneado",tristeza
"no quiero hacer nada hoy",tristeza
"hoy me siento fatal",tristeza
"todo me salió mal",tristeza
"quiero desaparecer un rato",tristeza
"me siento muy vacío",tristeza
"ando sin ánimos",tristeza
"nada me emociona últimamente",tristeza
"me siento perdido",tristeza
"solo quiero dormir",tristeza
"me siento derrotado",tristeza
"todo parece muy gris",tristeza
"no encuentro felicidad",tristeza
"ando muy sensible",tristeza
"me siento inútil hoy",tristeza
"ya no tengo motivación",tristeza
"me cuesta seguir adelante",tristeza
"extraño los viejos tiempos",tristeza
"me siento apagado",tristeza
"quiero aislarme de todos",tristeza
"nada tiene sentido hoy",tristeza
"me siento roto emocionalmente",tristeza
"ando muy nostálgico",tristeza
"todo me afecta demasiado",tristeza
"me siento desilusionado",tristeza
"ando sin esperanza",tristeza
"me siento vacío emocionalmente",tristeza
"no logro levantar el ánimo",tristeza
"me siento muy solo hoy",tristeza
"todo me pone triste",tristeza
"quiero llorar",tristeza
"me siento destrozado",tristeza
"nada me hace feliz",tristeza
"me siento deprimido",tristeza
"quiero desaparecer",tristeza
"me siento emocionalmente roto",tristeza
"todo me duele hoy",tristeza
"me siento miserable",tristeza
"no encuentro sentido a nada",tristeza
"estoy sufriendo mucho",tristeza
"me siento vacío y triste",tristeza
"solo quiero estar acostado",tristeza
"me siento destruido emocionalmente",tristeza
"no tengo fuerzas para seguir",tristeza
"todo me hace sentir mal",tristeza
"Estoy enojado por lo que pasó",enojo
"Me molesta que no me escuchen",enojo
"Estoy frustrado con la situación",enojo
"Me irrita la injusticia",enojo
"Estoy furioso por la falta de respeto",enojo
"No soporto esta situación",enojo
"Estoy cansado de los problemas",enojo
"Me enfurece que me ignoren",enojo
"Hoy tengo mucha rabia",enojo
"Me siento indignado",enojo
"Estoy harto de las mentiras",enojo
"Todo esto me hace perder la paciencia",enojo
"Me molesta la actitud de algunas personas",enojo
"Estoy muy frustrado hoy",enojo
"No puedo controlar mi enojo",enojo
"Me siento alterado por lo sucedido",enojo
"Estoy perdiendo la paciencia",enojo
"Esto realmente me irrita",enojo
"Me siento explotando de rabia",enojo
"Estoy muy molesto esta noche",enojo
"ando bien enojado",enojo
"ya me harté de todo",enojo
"esto me saca de quicio",enojo
"estoy demasiado molesto",enojo
"me tienen cansado",enojo
"ando con mucha rabia",enojo
"todo esto me irrita",enojo
"no aguanto esta situación",enojo
"estoy explotando del enojo",enojo
"me desespera la gente",enojo
"estoy cansado de las mentiras",enojo
"esto me parece injusto",enojo
"me siento lleno de furia",enojo
"ando frustrado con todo",enojo
"me molesta demasiado esto",enojo
"quiero gritar del enojo",enojo
"todo me hace perder la paciencia",enojo
"estoy alterado hoy",enojo
"ando muy irritado",enojo
"me siento traicionado",enojo
"estoy indignado con la situación",enojo
"no puedo controlar mi rabia",enojo
